ARTDES,count,sum,mean
LAVETTE,78168,7851825,100.45
GANT DE TOILETTE,67004,7628551,113.85
SERVIETTE DE TOILETTE,78485,5552643,70.75
SERVIETTE DE TOILETTE LOCATION,43964,5358764,121.89
BANDEAU DE LAVAGE,75711,5002717,66.08
DRAP 1 PLACE,75862,4745138,62.55
DRAP 1 PLACE LOCATION,44977,3994210,88.81
GANT DE TOILETTE LOCATION,24841,3354461,135.04
ALESE CARREE,63803,3180429,49.85
BANDEAU DE LAVAGE LOCATION,26021,2398458,92.17
TAIE OREILLER,62025,1558671,25.13
SERVIETTE DE TABLE LOCATION,23287,1441057,61.88
BANDEAU DE BALAYAGE,27075,1229648,45.42
PANTALON O.P.,4890,1162430,237.72
SERVIETTE DE TABLE,33566,1009159,30.06
TAIE OREILLER LOCATION,39579,966030,24.41
ALESE LOCATION,23757,939008,39.53
BAVOIR ADULTE LOCATION,19278,908957,47.15
CHEMISE OUVERTE,42901,893389,20.82
BAVOIR ADULTE,24951,725894,29.09
DRAP HOUSSE 1 PLACE,39966,678320,16.97
TEE-SHIRT NAS,15489,641578,41.42
SAC A LINGE VERT,58415,616549,10.55
SAC A LINGE,17683,557126,31.51
TUNIQUE LOCATION,16034,553803,34.54
TORCHON,32909,525380,15.96
LAVETTE LOCATION,8287,523653,63.19
PANTALON DE TRAVAIL LOCATION,15751,509349,32.34
TORCHON LOCATION,28088,505332,17.99
CHEMISE OUVERTE LOCATION,10810,471042,43.57
VT PRO,1600,467304,292.06
DRAP DE BAIN LOCATION,22775,467195,20.51
SAC A LINGE ORANGE,56596,451712,7.98
GANT UU,3179,358476,112.76
COUCHE,6810,353632,51.93
SAC A LINGE ORANGE LOCATION,31246,299780,9.59
CHEMISE DE NUIT NAS,13640,287644,21.09
CHAUSSETTE NAS,12721,286545,22.53
SAC A LINGE VERT LOCATION,28480,284662,10.0
BLOUSE DE BOX,14891,284040,19.07
TUNIQUE DE BLOC T01,13337,266040,19.95
TUNIQUE DE BLOC T02,13351,261693,19.6
LANGE,6139,247951,40.39
PANTALON DE BLOC T01,12285,243192,19.8
PANTALON DE BLOC T02,12459,234324,18.81
PULL. GILET NAS,12409,232495,18.74
COUVERTURE,28316,232224,8.2
COUCHE LOCATION,4101,230899,56.3
CHEMISE DE NUIT ADULTE T06,36813,217983,5.92
SAC A LINGE JAUNE,46936,214833,4.58
PANTALON NAS,12911,211832,16.41
CHEMISE DE NUIT ADULTE T04,36464,205443,5.63
TUNIQUE,4933,203505,41.25
DRAP HOUSSE 1 PLACE LOCATION,7692,179231,23.3
ALESE LONGUE  BLOC,3286,176765,53.79
SAC A BLOUSES,40249,175265,4.35
PANTALON DE TRAVAIL,4454,169960,38.16
TUNIQUE DE BLOC T03,9161,151502,16.54
PANTALON DE BLOC T03,8539,143456,16.8
VESTE DE PYJAMA ADULTE T04,24267,142745,5.88
SLIP NAS,11399,136431,11.97
COUVERTURE LOCATION,17142,134745,7.86
PANTALON DE SURVETEMENT NAS,12011,130955,10.9
LANGE LOCATION,3640,126154,34.66
DRAP BEBE,3977,123932,31.16
PANTALON DE PYJAMA ADULTE T04,24982,117695,4.71
VESTE DE PYJAMA ADULTE T06,22048,115585,5.24
PANTALON PYJAMA LOCATION T04,15725,115173,7.32
PANTALON PYJAMA LOCATION T06,13355,104021,7.79
PANTALON DE PYJAMA NAS,12571,102779,8.18
VESTE DE PYJAMA LOCATION T06,13450,96612,7.18
PANTALON DE PYJAMA ADULTE T06,20576,94877,4.61
VESTE DE PYJAMA LOCATION T04,13796,93602,6.78
DRAP DE BAIN,10785,92933,8.62
SAC A BLOUSES LOCATION,15090,92350,6.12
CHEMISE DE NUIT LOCATION T04,8612,86139,10.0
POLO NAS,12830,84874,6.62
SAC A LINGE BLOC,9588,82169,8.57
SAC RESIDENT LOCATION,14458,81331,5.63
CHEMISE DE NUIT ADULTE T02,25577,79565,3.11
BLOUSE DE VISITEUR,5391,77823,14.44
CHEMISE OUVERTE À CORDON,4185,74819,17.88
SAC A LINGE BLEU RAYÉ,8786,69290,7.89
SAC RESIDENT,19973,69121,3.46
COUVRE-LIT 1 PLACE LOCATION,12100,67149,5.55
VESTE DE PYJAMA NAS,10390,60804,5.85
DRAP 2 PLACES,7870,60105,7.64
SWEAT-SHIRT NAS,9849,57229,5.81
SAC A LINGE JAUNE LOCATION,12093,54627,4.52
CHIFFON (KG),7112,51474,7.24
SAC A LINGE BLEU UNI,8031,50531,6.29
ROBE NAS,10079,50063,4.97
TUNIQUE DE BLOC T04,3837,47684,12.43
CHEMISE DE NUIT LOCATION T06,3847,46413,12.06
PANTALON DE BLOC T04,3900,45937,11.78
PANTALON DE PYJAMA ADULTE T02,12450,42785,3.44
COUVERTURE NAS,3254,39823,12.24
VESTE DE PYJAMA ADULTE T02,10707,38045,3.55
PANTALON DE TRAVAIL NAS,3081,35066,11.38
JUPE NAS,7607,34393,4.52
TABLIER SIMPLE,2770,31927,11.53
SOUTIEN-GORGE NAS,8878,28887,3.25
PANTALON PYJAMA LOCATION T02,6148,28831,4.69
CHEMISIER NAS,8367,28476,3.4
CHEMISE NAS,8436,27528,3.26
BANDEAU DE BALAYAGE LOCATION,2695,26744,9.92
CALEÇON NAS,4601,26556,5.77
BLOUSON NAS,1859,25911,13.94
CHAMP O.P BLEU 80 X 80,516,24577,47.63
CHAMP O.P BLEU 100 X 100,461,23810,51.65
TABLIER A BAVETTE LOCATION,1942,23747,12.23
DRAP A USAGE UNIQUE,841,23202,27.59
COUVERTURE BEBE LOCATION,2860,22819,7.98
VESTE DE PYJAMA LOCATION T02,5650,22573,4.0
VESTE DE TRAVAIL NAS,2621,21380,8.16
TUNIQUE DE BLOC T05,2021,21092,10.44
VESTE DE CUISINIER LOCATION NAS,1994,20234,10.15
PANTALON DE BLOC T0,2194,20189,9.2
TUNIQUE DE BLOC T0,2303,20065,8.71
BLOUSE LOCATION,3837,19768,5.15
GRENOUILLERE NAS,6518,19439,2.98
DRAP 2 PLACES LOCATION,1700,19019,11.19
PANTALON DE CUISINIER LOCATION NAS,2073,18881,9.11
SHORT NAS,6081,18820,3.09
MOUCHOIR NAS,5035,18803,3.73
CHIFFON (KG) LOCATION,5937,18487,3.11
CASAQUE,1411,18302,12.97
VESTE DE SURVETEMENT NAS,4623,16070,3.48
COUETTE NAS,2069,15200,7.35
PANTALON SOIN T02,2499,15131,6.05
PANTALON DE BLOC T05,1623,14688,9.05
PANTALON SOIN T01,2526,13671,5.41
BAVOIR ENFANT,780,13550,17.37
ENVELOPPE DE TRAVERSIN,576,13196,22.91
POLO LOCATION NAS,1168,11920,10.21
PANTALON SOIN T03,2244,11648,5.19
CHEMISE DE NUIT LOCATION T02,1706,11485,6.73
TUNIQUE BLANCHE T01,1656,11421,6.9
TUNIQUE BLANCHE T02,1711,11183,6.54
DRAP BEBE LOCATION,1205,10978,9.11
COUVRE-LIT NAS,2020,10719,5.31
NAPPE (M2) NAS,695,10714,15.42
ENVELOPPE DE TRAVERSIN LOCATION,320,10260,32.06
BLOUSE,1554,9673,6.22
KIT NURSING:2 EPONGE 2 GANT 1 TABLE,2096,9623,4.59
OBJET TEXTILE DIVER NAS,1839,9533,5.18
VESTE DE TRAVAIL,915,9403,10.28
TUNIQUE BLANCHE T03,1676,9362,5.59
ANORACK NAS,450,9269,20.6
VESTE DE TRAVAIL LOCATION,1326,9103,6.87
TUNIQUE NAS,3811,8821,2.31
MANCHON,3678,8743,2.38
COUVRE-LIT 1 PLACE,2283,8684,3.8
KIT OUVERTE : 1 CHEMISE OUVERTE,1955,8633,4.42
ALESE CARREE NAS,987,8561,8.67
CHEMISE OUVERTE À CORDON LOCATION,1398,7970,5.7
TEE-SHIRT LOCATION NAS,954,7526,7.89
TUNIQUE JAUNE T01,1276,6846,5.37
ROBE DE CHAMBRE NAS,3606,6719,1.86
SAC A LINGE LOCATION NAS,552,6713,12.16
SERVIETTE DE TABLE NAS,2139,6410,3.0
SERVIETTE DE TOILETTE NAS,3106,6403,2.06
KIT DRAP : 1 TAIE - 3 DRAPS,1632,6335,3.88
SAC A LINGE NAS,1506,6328,4.2
TUNIQUE JAUNE T03,1243,6009,4.83
TUNIQUE JAUNE T02,1230,5945,4.83
TUNIQUE BLANCHE T0,895,5805,6.49
DRAP SAC NAS,251,5660,22.55
TUNIQUE VERTE T01,1146,5651,4.93
SAC A LINGE BLANC LOCATION,1036,5589,5.39
TUNIQUE VERTE T02,1162,5589,4.81
SURBLOUSE LOCATION,803,5550,6.91
COUVRE-PIEDS NAS,2991,5428,1.81
ECHARPE NAS,2887,5274,1.83
GANT DE TOILETTE (KG),412,5079,12.33
CHEMISE OUVERTE ENFANT 10-12 ANS,985,5074,5.15
SLIP/TRICOT DE PEAU (KG) NAS,2378,4632,1.95
BLOUSE MANCHES COURTES T01,933,4606,4.94
CHEMISE OUVERTE ENFANT 06-08 ANS,863,4299,4.98
PANTALON SOIN T04,1204,4284,3.56
BLOUSE MANCHES COURTES T02,917,4241,4.62
VESTE FEMME NAS,2617,4214,1.61
PANTALON SOIN T0,890,4007,4.5
COMBINAISON NAS,2389,3968,1.66
TABLIER A BAVETTE,456,3945,8.65
BLOUSE MANCHES COURTES T03,839,3930,4.68
SERPILLETTE (KG),893,3893,4.36
CHAMP O.P BLEU,68,3702,54.44
TUNIQUE VERTE T03,767,3595,4.69
COUVERTURE POLAIRE NAS,623,3580,5.75
COUVERTURE BEBE,565,3451,6.11
TUNIQUE JAUNE T04,658,3433,5.22
TABLIER NAS,923,3364,3.64
PANTALON DE PYJAMA (14ANS),569,3288,5.78
SAC A LINGE LOCATION,673,3125,4.64
COLLANT NAS,1373,2883,2.1
GANT DE TOILETTE NAS,1286,2782,2.16
TUNIQUE BLANCHE T04,831,2676,3.22
KIT ALESE : 1 TAIE - 3 ALESES,844,2661,3.15
HOUSSE DIVERSE,275,2622,9.53
PANTALON PYJAMA LOCATION T08,256,2402,9.38
VESTE HOMME NAS,1493,2389,1.6
TUNIQUE DE BLOC T00,183,2340,12.79
VESTE DE PYJAMA (14ANS),522,2235,4.28
PANTALON DE PYJAMA,205,2193,10.7
BLOUSE MANCHES COURTES T04,558,2191,3.93
VESTE DE PYJAMA LOCATION T08,230,2187,9.51
SAC A LINGE MARRON LOCATION,252,2122,8.42
CHAMP O.P BLEU 125 X 125,49,2012,41.06
CHAUSSON NAS,872,1892,2.17
PANTALON SOIN T05,635,1841,2.9
ARTICLE AU KG,33,1826,55.33
GILET MATELASSE NAS,919,1738,1.89
VESTE DE PYJAMA,159,1707,10.74
COMBINAISON DE TRAVAIL,66,1614,24.45
TUNIQUE VERTE T04,333,1486,4.46
TUNIQUE BLANCHE T05,485,1414,2.92
OREILLER NAS,420,1347,3.21
CHEMISE DE NUIT,154,1322,8.58
TAIE OREILLER NAS,836,1207,1.44
BLOUSE MANCHES COURTES T0,405,1161,2.87
MANTEAU NAS,791,1105,1.4
PEIGNOIR NAS,830,1070,1.29
HAMAC POUR LEVE-MALADE (KG) NAS,419,1067,2.55
VETEMENT ENFANT NAS,230,1054,4.58
BANDE DIVERSE NAS,272,1017,3.74
TUNIQUE JAUNE T05,212,987,4.66
PANTALON DE BLOC T06,174,894,5.14
CHIFFON JAUNE (KG),791,885,1.12
HOUSSE DIVERSE NAS,590,848,1.44
DRAP DE BAIN NAS,534,844,1.58
CHALE NAS,708,836,1.18
PANTALON DE PYJAMA (12ANS),283,835,2.95
CEINTURE NAS,650,806,1.24
VESTE DE PYJAMA LOCATION,64,763,11.92
VESTE DE PYJAMA (12ANS),260,758,2.92
DRAP HOUSSE 2 PLACES,14,727,51.93
CHIFFON LOCATION,41,714,17.41
PANTALON SOIN T06,290,697,2.4
TUNIQUE BLEUE T03,224,680,3.04
TUNIQUE VERTE T05,163,657,4.03
PANTALON O.P. LOCATION,9,638,70.89
TUNIQUE BLEUE T02,235,636,2.71
TORCHON NAS,396,616,1.56
COUVERTURE LOCATION NAS,22,598,27.18
TUNIQUE BLEUE T01,192,572,2.98
TUNIQUE DE BLOC T06,119,535,4.5
PANTALON DE PYJAMA (06ANS),229,516,2.25
VESTE DE PYJAMA (08ANS),185,502,2.71
BLOUSE NAS,264,491,1.86
FILET BANDEAUX,58,488,8.41
PANTALON DE PYJAMA (10ANS),194,482,2.48
COUVRE-PIEDS,165,478,2.9
COUSSIN NAS,185,478,2.58
PANTALON DE PYJAMA (08ANS),200,473,2.37
BONNET NAS,338,473,1.4
CASQUETTE NAS,333,460,1.38
VESTE DE PYJAMA (06ANS),150,417,2.78
DRAP HOUSSE BEBE NAS,62,416,6.71
PANTALON DE PYJAMA (04ANS),146,405,2.77
TUNIQUE ROSE T01,66,402,6.09
SAC A LINGE MARRON,212,387,1.83
VESTE DE PYJAMA (10ANS),152,359,2.36
NAPPE,47,351,7.47
ATTELLE (KG) NAS,138,351,2.54
VESTE DE PYJAMA (04ANS),121,343,2.83
BLOUSE MANCHES COURTES T05,198,334,1.69
PANTALON DE PYJAMA ADULTE T03,131,334,2.55
PANTALON DE PYJAMA ADULTE T05,98,332,3.39
VESTE PYJAMA LOCATION (06ANS),117,325,2.78
FILET LAVETTES,59,317,5.37
CHAMP O.P BLEU 50 X 50,8,308,38.5
TURBULETTE NAS,96,296,3.08
CHEMISE DE NUIT ADULTE T0,92,290,3.15
TUNIQUE ROSE T02,47,284,6.04
TUNIQUE SOIN LOCATION T02,69,283,4.1
CHEMISE DE NUIT LOCATION NAS,240,279,1.16
VESTE PYJAMA LOCATION (04ANS),92,270,2.93
PANTALON PYJAMA LOCATION 06 ANS,103,270,2.62
VESTE PYJAMA LOCATION (08ANS),92,268,2.91
CHEMISE DE NUIT ADULTE T03,31,260,8.39
VESTE DE PYJAMA ADULTE T05,38,259,6.82
OREILLER,70,252,3.6
PANTALON PYJAMA LOCATION 04 ANS,92,248,2.7
ARTICLES DIVERS EN FILET (KG) NAS,43,247,5.74
CHEMISE DE NUIT LOCATION T05,69,246,3.57
CAPE NAS,210,220,1.05
PANTALON PYJAMA LOCATION 08 ANS,76,217,2.86
DRAP,2,200,100.0
SERVIETTE TOILETTE,2,200,100.0
TUNIQUE SOIN LOCATION T03,55,199,3.62
CHEMISE DE NUIT ADULTE T05,25,195,7.8
PANTALON DE PYJAMA (02ANS),84,192,2.29
COUVRE-LIT 2 PLACES,33,188,5.7
VESTE PYJAMA LOCATION (02ANS),62,178,2.87
VESTE DE PYJAMA (02ANS),78,175,2.24
TUNIQUE BLEUE T04,43,171,3.98
TUNIQUE ROSE T03,32,164,5.12
ATTACHE-VELCRO NAS,66,164,2.48
VESTE DE SERVEUR NAS,48,163,3.4
GILET RESTAURATION NAS,63,155,2.46
MAILLOT DE BAIN NAS,126,150,1.19
COUVERTURE BÉBÉ NAS,13,143,11.0
PANTALON PYJAMA LOCATION 02 ANS,50,142,2.84
BAVOIR ENFANT NAS,115,139,1.21
VESTE PYJAMA LOCATION (10ANS),46,135,2.93
CHIFFON,35,126,3.6
IMPERMEABLE NAS,86,121,1.41
TUNIQUE BLANCHE T06,65,110,1.69
CHEMISE DE NUIT (08 ANS),40,110,2.75
CHAUSSETTE,50,108,2.16
PANTALON PYJAMA LOCATION 10 ANS,39,108,2.77
CHEMISE DE NUIT (10 ANS),56,105,1.88
POLO LOCATION,12,102,8.5
ALESE,2,100,50.0
CRAVATE NAS,83,99,1.19
VESTE DE PYJAMA ADULTE T03,14,94,6.71
CHEMISE DE NUIT (12 ANS),41,92,2.24
PANTALON DE PYJAMA ADULTE T08,27,89,3.3
GILET MATELASSE,85,86,1.01
TUNIQUE BLEUE T0,47,86,1.83
TUNIQUE VERT FONCÉ T03,25,78,3.12
BLOUSE MANCHES COURTES T06,20,76,3.8
TUNIQUE VERT FONCÉ T02,30,74,2.47
CHEMISE DE NUIT (04 ANS),32,74,2.31
VESTE PYJAMA LOCATION (12ANS),27,71,2.63
CAPUCHE NAS,63,68,1.08
BLOUSE DE BOX LOCATION,8,68,8.5
CHEMISE DE NUIT (02 ANS),32,66,2.06
TUNIQUE VERT FONCÉ T04,15,65,4.33
PANTALON PYJAMA LOCATION 12 ANS,25,63,2.52
TUNIQUE JAUNE T0,28,63,2.25
CHEMISE DE NUIT (06 ANS),30,62,2.07
SANGLE NAS,28,60,2.14
COUETTE,13,59,4.54
TEE-SHIRT,54,58,1.07
TUNIQUE VERT FONCÉ T01,21,57,2.71
GILET DE COSTUME NAS,48,55,1.15
TUNIQUE SOIN LOCATION T01,14,51,3.64
VESTE PYJAMA LOCATION (14ANS),19,49,2.58
BRETELLE NAS,40,48,1.2
CACHE-NEZ NAS,44,47,1.07
DOUBLE-RIDEAUX (M2) NAS,28,45,1.61
DUVET NAS,31,43,1.39
RIDEAU/VOILAGE (M2) NAS,31,42,1.35
SLIP,32,41,1.28
PANTALON SOIN LOCATION T02,8,39,4.88
TUNIQUE BLEUE T05,12,38,3.17
PANTALON PYJAMA ADULTE BLEU T4,4,34,8.5
PELUCHE NAS,25,34,1.36
PANTALON SOIN LOCATION T03,10,33,3.3
JUPON NAS,30,32,1.07
PEIGNOIR,32,32,1.0
TUNIQUE SOIN LOCATION T04,13,31,2.38
PANTALON PYJAMA ADULTE BLEU T5,2,30,15.0
BANDE CONTENTION (KG),14,30,2.14
VESTE DE CUISINIER LOCATION,7,30,4.29
PANTALON SOIN LOCATION T04,6,26,4.33
COMBINAISON DE TRAVAIL NAS,11,25,2.27
TUNIQUE VERT FONCÉ T05,4,24,6.0
PANTALON PYJAMA LOCATION 14 ANS,10,24,2.4
FILET BANDEAUX MAJORÉ,12,23,1.92
VESTE DE PYJAMA ADULTE T8,21,21,1.0
CHEMISE DE NUIT ADULTE T2,2,20,10.0
PANTALON PYJAMA ADULTE BLEU T6,2,20,10.0
PANTALON PYJAMA LOCATION T05,2,20,10.0
TUNIQUE BLOC (BLEUE),2,20,10.0
ENVELOPPE DE COUETTE NAS,16,18,1.12
ENVELOPPE DE COUETTE,4,14,3.5
