mois,count,sum,mean
2022-01,51275,1589386,31.0
2022-02,97606,3070484,31.46
2022-03,117070,3469390,29.64
2022-04,109184,3125486,28.63
2022-05,121724,3438428,28.25
2022-06,128190,3612952,28.18
2022-07,133128,3582738,26.91
2022-08,132028,3621932,27.43
2022-09,136994,3662088,26.73
2022-10,140252,3676938,26.22
2022-11,141102,3746680,26.55
2022-12,148794,3816586,25.65
2023-01,16313,1864813,114.31
2023-02,14960,1696401,113.4
2023-03,75433,1938346,25.7
2023-04,66831,1759445,26.33
2023-05,70729,1891370,26.74
2023-06,72940,1872087,25.67
2023-07,68520,1774218,25.89
2023-08,72459,1827383,25.22
2023-09,70053,1736374,24.79
2023-10,76044,1936122,25.46
2023-11,71687,1860260,25.95
2023-12,69116,1839053,26.61
2024-01,16043,1936561,120.71
2024-02,15599,1893644,121.4
2024-03,15826,1922733,121.49
2024-04,16499,1960016,118.8
2024-05,15841,1921943,121.33
2024-06,15265,1781863,116.73
2024-07,16897,1942812,114.98
2024-08,15715,1789584,113.88
